L = 12, j = 1.0, jz = 0.6, g = 0.3, gamma = 0.9, threshold = 0, steps = 600, start = x 
b_1 = 1.3453624047073711, length: 8
 b_2 = 2.209284777143801, length: 8
b_3 = 2.4229636116192648, length  = 22, memory = 5.960464477539063e-8, time = 2020-06-23T02:28:51.314
b_4 = 3.376589464768262, length  = 58, memory = 5.960464477539063e-8, time = 2020-06-23T02:28:51.326
b_5 = 2.8639167670651813, length  = 159, memory = 5.960464477539063e-8, time = 2020-06-23T02:28:51.327
b_6 = 3.7083304943839273, length  = 425, memory = 5.960464477539063e-8, time = 2020-06-23T02:28:51.327
b_7 = 4.217981245641608, length  = 1153, memory = 5.960464477539063e-8, time = 2020-06-23T02:28:51.328
b_8 = 5.260299621124874, length  = 3102, memory = 5.960464477539063e-8, time = 2020-06-23T02:28:51.33
b_9 = 5.470900101659231, length  = 8380, memory = 5.960464477539063e-8, time = 2020-06-23T02:28:51.336
b_10 = 6.075474143970639, length  = 22592, memory = 5.960464477539063e-8, time = 2020-06-23T02:28:51.351
b_11 = 6.435330184244204, length  = 60964, memory = 5.960464477539063e-8, time = 2020-06-23T02:28:51.422
b_12 = 7.160938725677751, length  = 160340, memory = 5.960464477539063e-8, time = 2020-06-23T02:28:51.6
b_13 = 6.932176108240778, length  = 391289, memory = 5.960464477539063e-8, time = 2020-06-23T02:28:52.225
b_14 = 7.869690748726033, length  = 843614, memory = 5.960464477539063e-8, time = 2020-06-23T02:28:54.101
b_15 = 7.701928751557151, length  = 1559901, memory = 5.960464477539063e-8, time = 2020-06-23T02:28:58.273
b_16 = 8.28194133542639, length  = 2448244, memory = 5.960464477539063e-8, time = 2020-06-23T02:29:06.492
b_17 = 8.69316024449261, length  = 3284053, memory = 5.960464477539063e-8, time = 2020-06-23T02:29:18.144
b_18 = 9.255003071684586, length  = 3853627, memory = 5.960464477539063e-8, time = 2020-06-23T02:29:35.65
b_19 = 9.708322324471105, length  = 4115199, memory = 5.960464477539063e-8, time = 2020-06-23T02:29:55.592
b_20 = 10.028742942176502, length  = 4185638, memory = 5.960464477539063e-8, time = 2020-06-23T02:30:16.455
b_21 = 10.272089132649324, length  = 4194268, memory = 5.960464477539063e-8, time = 2020-06-23T02:30:37.548
b_22 = 10.87353146304279, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:30:58.716
b_23 = 11.091582978352733, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:31:19.878
b_24 = 11.644330673947199, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:31:41.204
b_25 = 11.824092686403791, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:32:02.4
b_26 = 12.107594281094743, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:32:23.56
b_27 = 12.384303941239558, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:32:44.671
b_28 = 12.6371409013555, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:33:06.076
b_29 = 12.797091905738455, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:33:27.241
b_30 = 12.934827291984007, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:33:48.358
b_31 = 12.940874490381185, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:34:09.572
b_32 = 13.07600597688856, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:34:30.696
b_33 = 12.65854375654371, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:34:52.046
b_34 = 12.694586647568299, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:35:13.213
b_35 = 12.37412259688722, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:35:34.362
b_36 = 12.48392218722494, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:35:55.54
b_37 = 12.401955065135683, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:36:16.87
b_38 = 12.333995530353997, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:36:38.02
b_39 = 12.331821246863477, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:36:59.165
b_40 = 12.208547016855539, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:37:20.344
b_41 = 12.231805639256303, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:37:41.698
b_42 = 12.216754406334115, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:38:02.827
b_43 = 12.214945772967926, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:38:23.976
b_44 = 12.311742928977681, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:38:45.161
b_45 = 12.221444834986348, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:39:06.46
b_46 = 12.305802430919426, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:39:27.631
b_47 = 12.27419835561658, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:39:48.804
b_48 = 12.324176061365993, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:40:09.93
b_49 = 12.35772541876719, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:40:31.314
b_50 = 12.369714918072813, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:40:52.513
b_51 = 12.410849884113173, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:41:13.596
b_52 = 12.466502775850115, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:41:34.651
b_53 = 12.466731520623917, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:41:55.798
b_54 = 12.457750635424427, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:42:16.671
b_55 = 12.34884565821658, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:42:37.638
b_56 = 12.282967770844904, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:42:58.515
b_57 = 12.098296329674126, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:43:19.549
b_58 = 12.014214843421477, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:43:40.413
b_59 = 11.875620732157186, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:44:01.2
b_60 = 11.810068501940027, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:44:21.999
b_61 = 11.718663024086714, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:44:43.031
b_62 = 11.669297580410362, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:45:03.844
b_63 = 11.611623710298145, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:45:24.669
b_64 = 11.59302175836321, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:45:45.529
b_65 = 11.575206777264738, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:46:06.602
b_66 = 11.635637704718564, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:46:27.529
b_67 = 11.725926672368256, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:46:48.454
b_68 = 11.891758252949757, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:47:09.326
b_69 = 12.0499615288894, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:47:30.525
b_70 = 12.23473004884847, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:47:51.699
b_71 = 12.32725548045182, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:48:12.828
b_72 = 12.397530175539863, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:48:33.919
b_73 = 12.32261103812668, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:48:55.3
b_74 = 12.178137323513921, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:49:16.431
b_75 = 12.029880762652224, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:49:37.558
b_76 = 12.005910320834927, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:49:58.736
b_77 = 12.0641921323807, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:50:20.134
b_78 = 12.164490973201, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:50:41.251
b_79 = 12.102594553011922, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:51:02.437
b_80 = 12.030520123847992, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:51:23.643
b_81 = 11.83088745127824, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:51:44.988
b_82 = 11.743844582333615, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:52:06.231
b_83 = 11.684984156488635, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:52:27.368
b_84 = 11.798760756784569, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:52:48.874
b_85 = 11.954179771316301, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:53:10.688
b_86 = 12.105386038414666, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:53:31.968
b_87 = 12.074726608032336, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:53:53.212
b_88 = 11.91426248128125, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:54:14.547
