L = 12, j = 1.0, jz = 0.5, g = 0.3, gamma = 0.9, threshold = 0, steps = 600, start = x 
b_1 = 1.1704699910719625, length: 8
 b_2 = 2.192572065582731, length: 8
b_3 = 2.27065971217257, length  = 22, memory = 5.960464477539063e-8, time = 2020-06-23T02:28:47.161
b_4 = 3.3124486487087745, length  = 58, memory = 5.960464477539063e-8, time = 2020-06-23T02:28:47.173
b_5 = 2.5565580360762556, length  = 159, memory = 5.960464477539063e-8, time = 2020-06-23T02:28:47.173
b_6 = 3.64852452088706, length  = 425, memory = 5.960464477539063e-8, time = 2020-06-23T02:28:47.173
b_7 = 4.035336406884439, length  = 1153, memory = 5.960464477539063e-8, time = 2020-06-23T02:28:47.174
b_8 = 5.134515119598634, length  = 3102, memory = 5.960464477539063e-8, time = 2020-06-23T02:28:47.176
b_9 = 5.108409261694243, length  = 8380, memory = 5.960464477539063e-8, time = 2020-06-23T02:28:47.182
b_10 = 5.716449987475015, length  = 22592, memory = 5.960464477539063e-8, time = 2020-06-23T02:28:47.197
b_11 = 6.013707115548688, length  = 60964, memory = 5.960464477539063e-8, time = 2020-06-23T02:28:47.269
b_12 = 6.8214878253130635, length  = 160340, memory = 5.960464477539063e-8, time = 2020-06-23T02:28:47.45
b_13 = 6.595145470064377, length  = 391289, memory = 5.960464477539063e-8, time = 2020-06-23T02:28:48.074
b_14 = 7.529666008879048, length  = 843614, memory = 5.960464477539063e-8, time = 2020-06-23T02:28:49.966
b_15 = 7.2639710353400275, length  = 1559901, memory = 5.960464477539063e-8, time = 2020-06-23T02:28:54.197
b_16 = 7.946476514169847, length  = 2448244, memory = 5.960464477539063e-8, time = 2020-06-23T02:29:02.465
b_17 = 8.239382585867393, length  = 3284053, memory = 5.960464477539063e-8, time = 2020-06-23T02:29:14.207
b_18 = 8.794252717659036, length  = 3853627, memory = 5.960464477539063e-8, time = 2020-06-23T02:29:31.804
b_19 = 9.351197955909399, length  = 4115199, memory = 5.960464477539063e-8, time = 2020-06-23T02:29:51.747
b_20 = 9.512148756462848, length  = 4185638, memory = 5.960464477539063e-8, time = 2020-06-23T02:30:13.102
b_21 = 9.669825319837107, length  = 4194268, memory = 5.960464477539063e-8, time = 2020-06-23T02:30:34.358
b_22 = 10.339493444142688, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:30:55.686
b_23 = 10.463419698620253, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:31:16.994
b_24 = 11.111277316712545, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:31:38.285
b_25 = 11.307748959300548, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:31:59.833
b_26 = 11.563813447961229, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:32:21.288
b_27 = 11.76359540016905, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:32:42.608
b_28 = 12.01721160538557, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:33:03.931
b_29 = 12.25512261005308, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:33:25.406
b_30 = 12.347988122814671, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:33:46.871
b_31 = 12.348325675689066, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:34:08.208
b_32 = 12.588020357886172, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:34:29.472
b_33 = 12.115375558299139, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:34:50.801
b_34 = 12.140757289201522, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:35:12.28
b_35 = 11.685823620007604, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:35:33.532
b_36 = 11.87607770220226, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:35:54.855
b_37 = 11.769572438586607, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:36:16.224
b_38 = 11.760525469699232, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:36:37.66
b_39 = 11.72585034752991, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:36:59.026
b_40 = 11.628051711219584, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:37:20.323
b_41 = 11.656442163040666, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:37:41.638
b_42 = 11.693572078862125, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:38:03.129
b_43 = 11.714774170705848, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:38:24.382
b_44 = 11.921263009718105, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:38:45.7
b_45 = 11.817699214775436, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:39:07.004
b_46 = 12.009037786948548, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:39:28.443
b_47 = 11.963756663230019, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:39:49.741
b_48 = 12.065622216549126, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:40:11.059
b_49 = 12.019206901948559, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:40:32.298
b_50 = 12.002141696570432, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:40:53.773
b_51 = 11.928313416084315, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:41:15.047
b_52 = 11.901999070107127, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:41:36.132
b_53 = 11.818611539573535, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:41:57.219
b_54 = 11.791558550129487, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:42:18.38
b_55 = 11.694491379515425, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:42:39.374
b_56 = 11.733751280193797, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:43:00.513
b_57 = 11.598880425545497, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:43:21.508
b_58 = 11.659370499818012, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:43:42.552
b_59 = 11.553013559037783, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:44:03.548
b_60 = 11.617202605626417, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:44:24.461
b_61 = 11.582569550708667, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:44:45.394
b_62 = 11.657427316495811, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:45:06.5
b_63 = 11.64603099529403, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:45:27.436
b_64 = 11.7070147061687, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:45:48.424
b_65 = 11.624275518663863, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:46:09.391
b_66 = 11.63087210659186, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:46:30.596
b_67 = 11.551547112492857, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:46:51.66
b_68 = 11.550536944206685, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:47:12.727
b_69 = 11.41739325244546, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:47:33.898
b_70 = 11.397718807259025, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:47:55.362
b_71 = 11.262115070509827, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:48:16.7
b_72 = 11.267977112779922, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:48:37.977
b_73 = 11.185976635233521, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:48:59.305
b_74 = 11.223299745394197, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:49:20.755
b_75 = 11.26197519699698, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:49:42.014
b_76 = 11.399951530066803, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:50:03.364
b_77 = 11.502727502631911, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:50:24.685
b_78 = 11.578570052674538, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:50:46.097
b_79 = 11.504526148668004, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:51:07.479
b_80 = 11.453433706432806, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:51:28.783
b_81 = 11.264200739482115, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:51:50.085
b_82 = 11.204443468872483, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:52:11.585
b_83 = 11.127536193266868, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:52:32.873
b_84 = 11.25523658835215, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:52:54.836
b_85 = 11.343956345746516, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:53:16.465
b_86 = 11.47590141751626, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:53:37.975
